oa_code,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
S00110865,15,15,-,-,-,-,-,-,-,-,-,-
S00110866,23,21,-,-,-,-,1,-,1,-,-,5
S00110867,30,22,2,2,-,-,2,-,1,1,-,14
S00110868,26,20,2,1,1,-,-,1,1,-,-,10
S00110869,30,22,-,1,4,1,1,1,-,-,-,11
S00110870,43,26,2,1,1,4,4,2,1,2,-,33
S00110871,46,27,1,-,2,2,3,4,2,4,1,43
S00110872,43,26,2,-,2,1,7,2,1,2,-,33
S00110873,41,30,2,1,3,1,2,1,1,-,-,19
S00110874,48,25,2,2,3,2,6,2,3,2,1,47
S00110875,25,20,1,-,2,1,-,1,-,-,-,7
S00110876,31,15,1,-,8,1,3,1,2,-,-,25
S00110877,27,14,7,1,1,-,2,1,-,1,-,18
S00110878,30,24,-,-,-,2,2,-,1,1,-,14
S00110879,35,24,2,-,3,2,2,-,2,-,-,20
S00110880,20,12,1,-,2,4,-,1,-,-,-,14
S00110881,49,27,7,3,3,3,3,1,1,1,-,37
S00110882,24,13,-,3,2,2,1,3,-,-,-,17
S00110883,24,17,1,-,3,1,1,-,-,1,-,11
S00110884,24,21,-,1,1,1,-,-,-,-,-,7
S00110885,20,15,-,-,1,-,-,2,-,2,-,12
S00110886,16,11,-,3,1,-,-,1,-,-,-,6
S00110887,24,15,-,-,4,-,-,2,3,-,-,17
S00110888,30,24,1,3,-,1,1,-,-,-,-,8
S00110889,42,20,2,2,4,5,5,2,1,1,-,39
S00110890,20,8,3,2,2,2,2,-,-,1,-,18
S00110891,52,27,4,7,5,1,3,1,3,1,-,40
S00110892,25,10,1,1,2,2,2,-,4,2,1,37
S00110893,42,24,1,3,4,4,2,-,-,3,1,32
S00110894,50,36,-,1,3,1,4,-,2,2,1,31
S00110895,11,5,3,2,1,-,-,-,-,-,-,6
S00110896,40,17,-,5,5,4,5,2,1,-,1,39
S00110897,36,17,2,3,2,3,2,2,4,1,-,40
S00110898,30,25,1,-,1,1,2,-,-,-,-,8
S00110899,25,16,1,2,2,1,2,1,-,-,-,13
S00110900,48,35,1,1,6,1,1,1,2,-,-,23
S00110901,33,19,2,1,5,-,2,2,-,1,1,22
S00110902,41,23,5,3,3,1,3,3,-,-,-,26
S00110903,41,21,4,4,2,4,2,1,3,-,-,35
S00110904,54,35,1,3,6,2,4,3,-,-,-,28
S00110905,32,21,5,2,1,1,-,1,-,1,-,16
S00110906,42,22,5,6,4,1,1,1,2,-,-,31
S00110907,40,30,2,2,1,1,3,-,-,1,-,16
S00110908,33,22,1,1,-,3,3,2,-,1,-,22
S00110909,29,22,1,1,2,-,-,3,-,-,-,10
S00110910,25,21,-,-,2,1,-,1,-,-,-,9
S00110911,29,17,2,1,2,-,3,-,1,2,1,26
S00110912,23,14,-,1,3,-,4,-,1,-,-,16
S00110913,19,10,-,1,-,1,2,2,1,2,-,20
S00110914,15,8,-,1,2,1,-,-,2,1,-,15
S00110915,26,20,2,-,1,-,-,3,-,-,-,11
S00110916,30,11,2,3,2,7,3,-,2,-,-,35
S00110917,30,21,2,2,1,1,1,2,-,-,-,13
S00110918,18,11,1,1,-,-,4,1,-,-,-,12
S00110919,26,20,-,-,2,1,1,1,-,1,-,12
S00110920,39,26,3,2,1,2,3,1,1,-,-,21
S00110921,19,14,-,1,1,1,-,-,1,-,1,10
S00110922,19,17,-,-,1,-,1,-,-,-,-,3
S00110923,19,15,-,-,-,1,1,-,1,1,-,10
S00110924,38,25,1,3,2,4,3,-,-,-,-,20
S00110925,27,18,-,1,4,1,1,1,-,-,1,14
S00110926,28,15,4,1,3,-,-,4,1,-,-,19
S00110927,28,17,-,1,1,3,3,3,-,-,-,20
S00110928,18,11,-,1,1,-,1,2,2,-,-,20
S00110929,22,14,3,-,1,2,2,-,-,-,-,12
S00110930,23,16,2,1,4,-,-,-,-,-,-,7
S00110931,20,13,2,-,2,1,1,-,-,1,-,11
S00110932,24,18,2,-,1,-,1,-,-,2,-,12
S00110933,43,34,1,2,2,1,2,1,-,-,-,13
S00110934,30,20,2,-,1,1,1,-,3,2,-,23
S00110935,33,21,2,1,1,3,4,1,-,-,-,20
S00110936,18,15,1,2,-,-,-,-,-,-,-,3
S00110937,30,23,1,2,-,1,2,-,-,1,-,15
S00110938,15,10,2,-,1,-,1,-,1,-,-,8
S00110939,30,19,3,-,3,1,1,2,-,1,-,18
S00110940,25,18,3,1,2,-,-,-,-,1,-,9
S00110941,42,16,3,2,10,2,3,4,2,-,-,39
S00110942,34,24,1,-,3,1,1,2,1,1,-,19
S00110943,25,6,6,4,2,3,2,2,-,-,-,26
S00110944,23,19,-,-,1,-,-,-,3,-,-,10
S00110945,53,33,3,4,1,3,4,1,3,1,-,36
S00110946,21,15,-,-,2,-,1,2,1,-,-,11
S00110947,22,13,-,-,1,4,2,1,1,-,-,18
S00110948,27,14,2,-,3,2,-,3,-,3,-,24
S00110949,44,23,5,3,4,-,6,1,1,1,-,32
S00110950,25,17,-,-,1,1,4,-,-,2,-,17
S00110951,28,19,1,-,5,-,1,-,-,2,-,14
S00110952,43,33,1,-,3,1,1,3,1,-,-,17
S00110953,17,8,3,2,2,-,1,1,-,-,-,11
S00110954,27,18,-,2,1,2,2,1,-,1,-,16
S00110955,17,12,2,1,-,-,2,-,-,-,-,7
S00110956,37,24,1,4,2,3,1,-,2,-,-,21
S00110957,26,19,-,1,3,-,1,2,-,-,-,10
S00110958,19,12,-,-,2,1,4,-,-,-,-,12
S00110959,18,12,1,-,4,1,-,-,-,-,-,7
S00110960,19,14,-,-,2,2,1,-,-,-,-,9
S00110961,16,9,1,2,2,-,1,-,1,-,-,10
S00110962,34,20,1,-,2,2,3,2,3,1,-,29
S00110963,44,26,1,3,5,2,4,2,1,-,-,28
S00110964,37,31,-,-,3,3,-,-,-,-,-,9
S00110965,17,10,-,2,1,2,1,1,-,-,-,11
S00110966,48,36,2,2,2,-,3,1,1,1,-,22
S00110967,27,17,1,2,3,-,2,1,-,1,-,15
S00110968,52,30,2,4,4,4,3,1,2,2,-,38
S00110969,37,21,1,3,4,2,2,1,2,1,-,27
S00110970,24,16,1,-,1,1,2,2,-,1,-,16
S00110971,29,25,2,-,1,-,-,1,-,-,-,5
S00110972,32,24,1,1,1,3,-,2,-,-,-,13
S00110973,17,10,-,-,3,-,1,2,-,1,-,12
S00110974,58,30,4,3,11,2,2,3,2,-,1,42
S00110975,60,42,1,2,4,1,2,2,3,3,-,38
S00110976,34,20,2,1,6,-,1,3,1,-,-,20
S00110977,27,14,-,3,1,3,4,1,1,-,-,25
S00110978,49,33,1,2,4,3,5,1,-,-,-,25
S00110979,48,28,-,5,1,5,4,4,-,-,1,35
S00110980,39,23,2,-,6,3,2,3,-,-,-,24
S00110981,44,24,5,1,3,3,3,2,1,2,-,36
S00110982,51,35,1,-,5,1,8,-,-,1,-,27
S00110983,40,19,2,5,5,2,5,1,-,1,-,31
S00110984,41,31,2,1,2,2,2,1,-,-,-,15
S00110985,36,27,-,1,6,-,2,-,-,-,-,11
S00110986,22,14,2,1,2,-,-,1,1,1,-,15
S00110987,27,24,-,-,1,-,1,-,1,-,-,6
S00110988,49,42,-,2,1,-,1,-,3,-,-,14
S00110989,17,10,1,-,3,1,-,2,-,-,-,10
S00110990,25,16,2,-,1,2,1,1,1,-,1,17
S00110991,39,26,2,3,2,1,1,2,-,1,1,21
S00110992,31,24,-,-,1,2,1,1,-,2,-,17
S00110993,32,24,-,1,1,1,1,2,-,1,1,16
S00110994,36,30,-,-,1,-,2,2,-,1,-,12
S00110995,38,18,8,3,4,3,1,-,1,-,-,26
S00110996,29,22,-,1,-,2,-,2,-,-,2,15
S00110997,36,29,-,-,3,1,1,-,1,1,-,15
S00110998,29,19,1,-,2,3,2,2,-,-,-,17
S00110999,32,17,-,-,4,-,5,1,3,2,-,31
S00111000,33,23,4,-,1,1,4,-,-,-,-,15
S00111001,29,14,2,4,2,4,1,1,1,-,-,23
S00111002,30,18,-,2,2,3,2,-,1,2,-,24
S00111003,56,39,1,3,4,1,2,3,2,-,1,29
S00111004,35,19,2,1,4,3,4,1,-,1,-,26
S00111005,58,40,3,-,5,4,2,2,1,1,-,30
S00111006,35,20,1,2,4,2,3,-,1,2,-,29
S00111007,46,29,1,1,2,3,2,2,1,5,-,36
S00111008,37,27,1,-,3,1,2,1,1,1,-,18
S00111009,47,27,2,1,5,2,4,4,2,-,-,38
S00111010,43,25,5,3,1,3,3,2,1,-,-,30
S00111011,43,23,2,4,5,1,2,2,3,1,-,35
S00111012,34,14,5,1,6,1,4,-,3,-,-,33
S00111013,37,19,-,2,5,5,5,-,1,-,-,31
S00111014,36,18,2,-,6,2,5,1,1,1,-,31
S00111015,23,14,1,2,1,-,4,-,-,1,-,15
S00111016,30,18,2,-,3,2,4,-,-,1,-,20
S00111017,50,33,3,6,-,4,1,2,-,1,-,26
S00111018,28,20,1,1,1,1,1,1,1,1,-,16
S00111019,38,25,3,2,2,-,2,1,-,3,-,24
S00111020,15,6,3,2,-,-,-,1,1,2,-,18
S00111021,26,20,1,-,2,1,2,-,-,-,-,9
S00111022,38,25,3,1,1,3,2,1,1,1,-,24
S00111023,45,34,3,-,1,4,-,-,1,2,-,21
S00111024,25,20,-,1,2,1,-,-,-,1,-,8
S00111025,46,29,1,2,6,-,1,2,3,1,1,34
S00111026,47,28,2,2,2,3,2,3,4,1,-,39
S00111027,41,27,2,2,3,2,3,1,1,-,-,22
S00111028,37,23,2,1,5,2,2,1,-,1,-,21
S00111029,37,25,1,1,6,-,3,-,-,1,-,18
S00111030,16,9,-,-,2,1,3,-,1,-,-,14
S00111031,48,28,2,4,3,4,5,2,-,-,-,31
S00111032,34,27,2,-,1,-,3,1,-,-,-,11
S00111033,39,22,1,1,6,2,2,3,1,-,1,28
S00111034,19,15,2,-,-,1,-,-,1,-,-,7
S00111035,31,15,6,4,3,-,3,-,-,-,-,19
S00111036,19,8,3,2,3,1,-,2,-,-,-,14
S00111037,45,31,2,1,4,2,-,2,1,2,-,25
S00111038,48,18,3,5,5,5,3,3,4,2,-,55
S00111039,21,11,2,1,5,1,-,-,1,-,-,13
S00111040,22,11,3,1,1,3,-,2,-,1,-,18
S00111041,27,21,1,-,1,2,2,-,-,-,-,10
S00111042,6,1,2,-,2,1,-,-,-,-,-,6
S00111043,44,23,3,3,2,2,3,3,5,-,-,41
S00111044,18,9,1,1,6,1,-,-,-,-,-,10
S00111045,24,12,4,1,2,2,-,1,-,2,-,19
S00111046,42,31,-,1,7,-,2,-,-,1,-,17
S00111047,45,26,1,3,2,4,3,2,2,2,-,36
S00111048,26,24,1,-,1,-,-,-,-,-,-,2
S00111049,31,20,3,1,4,1,-,1,-,1,-,16
S00111050,27,22,1,-,1,1,-,-,1,1,-,10
S00111051,39,21,4,3,7,2,1,1,-,-,-,24
S00111052,21,15,2,-,2,1,-,-,1,-,-,10
S00111053,51,24,7,1,5,2,4,1,5,1,1,49
S00111054,47,29,4,2,3,2,6,-,1,-,-,29
S00111055,33,20,1,6,1,-,2,3,-,-,-,18
S00111056,32,10,5,1,2,3,5,2,2,2,-,42
S00111057,16,6,4,1,-,3,1,-,-,1,-,16
S00111058,36,7,15,6,1,2,2,-,2,1,-,39
S00111059,49,33,4,2,6,2,1,1,-,-,-,20
S00111060,48,19,10,2,2,6,4,2,2,1,-,47
S00111061,27,16,-,2,3,1,4,-,1,-,-,18
S00111062,37,27,3,1,1,1,2,1,-,1,-,16
S00111063,25,21,1,1,-,-,2,-,-,-,-,6
S00111064,31,22,-,2,4,-,1,2,-,-,-,12
S00111065,30,24,2,2,-,1,-,1,-,-,-,8
S00111066,37,12,1,3,1,9,2,2,5,-,2,53
S00111067,34,26,-,-,3,1,-,-,3,1,-,17
S00111068,33,24,1,1,2,-,5,-,-,-,-,15
S00111069,28,18,1,1,5,-,3,-,-,-,-,13
S00111070,41,23,1,-,5,1,3,4,2,2,-,34
S00111071,42,34,-,3,1,1,2,1,-,-,-,12
S00111072,38,25,3,1,2,1,5,-,-,1,-,21
S00111073,35,16,3,1,2,5,4,2,1,1,-,38
S00111074,60,31,4,3,7,2,6,4,2,1,-,47
S00111075,20,9,2,1,2,5,-,1,-,-,-,17
S00111076,34,16,2,1,4,4,2,-,2,2,1,34
S00111077,52,34,1,1,2,5,3,3,-,3,-,36
S00111078,39,22,3,3,3,3,3,-,2,-,-,28
S00111079,16,11,1,-,1,-,2,-,1,-,-,9
S00111080,19,10,4,1,3,-,-,1,-,-,-,10
S00111081,29,13,3,1,8,-,1,1,2,-,-,23
S00111082,22,17,2,1,-,-,1,1,-,-,-,7
S00111083,54,34,1,5,5,1,3,2,2,1,-,33
S00111084,41,23,4,4,3,3,2,-,1,1,-,28
S00111085,30,22,1,1,1,3,1,-,1,-,-,15
S00111086,35,24,2,-,4,1,-,3,-,1,-,17
S00111087,43,34,2,2,1,1,3,-,-,-,-,14
S00111088,54,37,2,4,5,1,4,1,-,-,-,23
S00111089,35,25,-,1,2,2,2,2,-,1,-,18
S00111090,34,30,1,-,-,1,1,-,1,-,-,8
S00111091,33,30,-,-,1,1,-,-,-,1,-,6
S00111092,35,26,5,1,2,-,1,-,-,-,-,10
S00111093,35,26,-,2,1,1,2,1,-,2,-,17
S00111094,39,32,1,-,1,3,1,-,1,-,-,13
S00111095,32,27,1,1,2,1,-,-,-,-,-,7
S00111096,23,19,1,-,1,-,2,-,-,-,-,6
S00111097,33,23,1,2,3,2,1,-,1,-,-,15
S00111098,28,25,-,-,-,-,2,1,-,-,-,6
S00111099,15,12,-,-,-,2,-,1,-,-,-,6
S00111100,31,24,-,4,-,2,-,-,1,-,-,11
S00111101,31,25,1,-,1,1,2,1,-,-,-,10
S00111102,16,13,-,-,2,-,1,-,-,-,-,4
S00111103,23,13,2,-,2,1,3,2,-,-,-,16
S00111104,15,9,-,-,5,-,-,-,-,1,-,8
S00111105,30,24,2,1,-,1,1,-,-,1,-,10
S00111106,16,12,2,-,1,-,1,-,-,-,-,5
S00111107,22,14,1,1,2,2,1,-,-,1,-,14
S00111108,22,19,2,-,-,-,1,-,-,-,-,4
S00111109,13,10,1,-,-,2,-,-,-,-,-,5
S00111110,35,24,-,2,1,3,1,2,-,1,1,23
S00111111,27,14,-,5,2,2,2,-,1,1,-,22
S00111112,25,17,1,1,3,1,-,-,2,-,-,13
S00111113,30,23,4,-,1,1,-,1,-,-,-,9
S00111114,36,22,2,1,1,2,4,1,2,1,-,27
S00111115,24,15,2,4,2,1,-,-,-,-,-,10
S00111116,22,16,2,-,2,2,-,-,-,-,-,9
S00111117,23,17,1,1,1,3,-,-,-,-,-,9
S00111118,17,12,1,2,-,-,2,-,-,-,-,7
S00111119,13,7,-,2,2,1,1,-,-,-,-,8
S00111120,26,16,1,1,1,3,3,-,1,-,-,18
S00111121,22,17,2,-,-,1,2,-,-,-,-,8
S00111122,36,26,2,-,4,2,-,1,1,-,-,16
S00111123,16,12,-,1,-,1,-,-,1,1,-,9
S00111124,27,17,-,-,4,2,1,1,2,-,-,20
S00111125,26,19,1,-,1,3,-,1,1,-,-,13
S00111126,42,36,-,-,3,-,2,1,-,-,-,9
S00111127,28,18,3,1,1,1,2,1,1,-,-,19
S00111128,32,29,1,1,-,-,-,-,-,1,-,5
S00111129,25,16,1,-,2,4,-,2,-,-,-,15
S00111130,40,26,4,-,2,1,3,2,2,-,-,25
S00111131,34,22,5,3,2,1,1,-,-,-,-,14
S00111132,34,17,3,5,-,-,3,3,3,-,-,29
S00111133,32,27,-,-,2,1,2,-,-,-,-,9
S00111134,35,27,2,-,2,-,2,1,-,-,1,13
S00111135,30,23,2,-,1,1,-,2,-,1,-,16
S00111136,41,20,2,5,2,3,6,1,1,1,-,37
S00111137,26,15,2,1,2,4,1,1,-,-,-,17
S00111138,24,17,2,1,1,2,1,-,-,-,-,10
S00111139,29,17,1,3,3,3,2,-,-,-,-,17
S00111140,17,11,2,-,-,2,2,-,-,-,-,10
S00111141,28,19,2,1,2,2,1,-,1,-,-,14
S00111142,25,12,2,3,2,5,-,-,1,-,-,20
S00111143,23,17,-,1,2,-,1,-,-,2,-,11
S00111144,52,43,3,-,-,-,-,1,-,4,1,20
S00111145,19,13,1,-,1,1,1,1,-,1,-,12
S00111146,14,12,-,-,-,-,-,-,-,2,-,6
S00111147,21,15,-,-,2,1,3,-,-,-,-,10
S00111148,37,25,1,1,3,1,2,-,-,3,1,24
S00111149,39,29,1,2,3,1,2,-,-,1,-,15
S00111150,9,9,-,-,-,-,-,-,-,-,-,-
S00111151,17,15,-,1,1,-,-,-,-,-,-,2
S00111152,27,17,3,1,2,1,-,-,-,3,-,18
S00111153,19,13,-,-,1,-,-,1,3,1,-,17
S00111154,19,14,-,-,2,-,-,1,-,2,-,12
S00111155,13,13,-,-,-,-,-,-,-,-,-,-
S00111156,15,14,-,-,1,-,-,-,-,-,-,1
S00111157,8,6,-,-,2,-,-,-,-,-,-,4
S00111158,17,12,-,3,1,-,-,1,-,-,-,7
S00111159,18,15,-,-,1,-,-,-,-,2,-,9
S00111160,14,12,-,-,-,1,-,-,-,-,1,6
S00111161,10,8,1,-,-,-,-,-,-,1,-,5
S00111162,6,6,-,-,-,-,-,-,-,-,-,-
S00111163,9,8,-,-,1,-,-,-,-,-,-,1
S00111164,9,7,1,-,-,-,1,-,-,-,-,3
S00111165,12,11,-,-,1,-,-,-,-,-,-,1
S00111166,16,14,1,-,-,-,-,-,1,-,-,5
S00111167,14,11,2,-,-,-,-,-,-,1,-,5
S00111168,8,7,-,-,1,-,-,-,-,-,-,1
S00111169,15,14,1,-,-,-,-,-,-,-,-,1
S00111170,15,12,2,-,-,-,-,1,-,-,-,4
S00111171,7,7,-,-,-,-,-,-,-,-,-,-
S00111172,14,10,-,-,-,1,1,-,1,-,1,13
S00111173,7,7,-,-,-,-,-,-,-,-,-,-
S00111174,10,5,3,1,1,-,-,-,-,-,-,5
S00111175,31,21,1,1,1,-,2,4,-,-,1,18
S00111176,39,27,-,1,1,3,4,-,1,2,-,25
S00111177,52,26,3,2,5,2,4,7,3,-,-,47
S00111178,30,18,1,1,1,1,5,2,1,-,-,22
S00111179,36,22,2,-,1,7,2,1,-,-,1,26
S00111180,41,23,2,2,6,3,2,2,1,-,-,29
S00111181,43,25,4,2,4,3,2,1,2,-,-,29
S00111182,44,29,-,2,4,4,2,1,-,2,-,26
S00111183,40,21,1,5,5,5,-,-,3,-,-,30
S00111184,29,19,1,1,3,2,-,1,1,1,-,17
S00111185,23,16,3,1,1,-,1,-,1,-,-,10
S00111186,17,15,-,-,-,-,1,-,-,-,1,5
S00111187,36,22,3,2,4,1,1,3,-,-,-,19
S00111188,47,32,3,2,4,3,1,1,-,1,-,22
S00111189,36,16,-,7,5,3,3,-,2,-,-,32
S00111190,30,20,-,1,4,3,-,2,-,-,-,15
S00111191,47,29,5,-,3,2,3,1,3,1,-,33
S00111192,22,13,1,1,2,2,1,2,-,-,-,17
S00111193,26,13,7,-,-,2,3,1,-,-,-,19
S00111194,29,22,1,3,1,-,1,-,1,-,-,10
S00111195,32,27,1,-,-,3,1,-,-,-,-,9
S00111196,32,21,1,-,4,1,-,2,2,1,-,24
S00111197,45,18,13,3,4,2,2,1,1,1,-,36
S00111198,50,29,10,3,2,4,1,-,-,1,-,28
S00111199,36,11,15,2,1,1,5,1,-,-,-,32
S00111200,30,24,-,2,4,-,-,-,-,-,-,6
S00111201,42,25,1,2,6,2,2,4,-,-,-,25
S00111202,46,33,-,-,7,2,3,-,-,1,-,21
S00111203,39,20,4,3,3,2,4,1,-,2,-,31
S00111204,40,5,4,2,3,9,4,3,7,2,1,72
S00111205,41,4,2,2,4,9,3,1,12,4,-,92
S00111206,22,16,1,-,1,-,1,1,2,-,-,12
S00111207,41,13,5,3,2,6,5,-,3,4,-,53
S00111208,33,9,3,2,5,8,2,2,1,1,-,41
S00111209,30,22,1,-,5,-,-,1,1,-,-,11
S00111210,55,26,6,7,5,3,3,2,3,-,-,44
S00111211,32,16,3,3,1,4,2,-,1,2,-,28
S00111212,50,29,-,1,7,2,9,2,-,-,-,34
S00111213,33,18,1,-,6,2,2,3,1,-,-,24
S00111214,27,18,-,1,3,2,2,1,-,-,-,14
S00111215,43,26,2,1,2,2,2,5,2,1,-,33
S00111216,33,24,1,1,1,2,2,1,-,-,1,16
S00111217,42,24,2,3,2,5,4,1,1,-,-,31
S00111218,53,33,4,1,3,4,4,1,1,2,-,36
S00111219,48,25,3,1,12,1,1,1,4,-,-,34
S00111220,45,34,1,-,4,-,3,1,2,-,-,20
S00111221,17,7,-,1,6,-,1,1,1,-,-,15
S00111222,35,21,3,-,-,4,2,1,-,3,1,29
S00111223,33,19,-,1,4,-,3,2,1,2,1,28
S00111224,47,34,-,-,2,1,7,3,-,-,-,24
S00111225,43,25,-,2,7,3,3,-,2,-,1,30
S00111226,42,24,1,2,6,3,2,1,-,3,-,33
S00111227,37,20,8,1,3,-,2,1,2,-,-,26
S00111228,59,40,1,5,6,-,3,2,1,1,-,31
S00111229,46,33,1,1,-,2,3,3,-,3,-,27
S00111230,26,19,1,1,1,1,3,-,-,-,-,11
S00111231,36,18,-,-,5,3,4,3,1,1,1,34
S00111232,41,33,-,1,3,2,1,1,-,-,-,14
S00111233,32,19,4,1,2,1,2,1,1,1,-,21
S00111234,34,24,-,-,1,5,2,1,1,-,-,20
S00111235,34,22,-,2,2,2,3,2,1,-,-,22
S00111236,44,24,3,2,7,2,3,3,-,-,-,28
S00111237,39,20,1,3,1,6,3,3,2,-,-,35
S00111238,39,30,2,1,1,-,2,-,2,-,1,18
S00111239,36,22,-,2,2,4,1,2,2,1,-,32
S00111240,30,20,-,1,3,3,-,2,1,-,-,17
S00111241,39,22,3,1,5,3,2,1,2,-,-,28
S00111242,29,19,4,-,5,-,1,-,-,-,-,11
S00111243,20,11,2,1,-,3,1,-,2,-,-,17
S00111244,36,15,2,2,6,1,5,2,1,1,1,36
S00111245,30,10,2,-,3,3,8,1,1,1,1,38
S00111246,41,32,-,1,4,-,3,1,-,-,-,13
S00111247,20,10,3,3,2,1,-,1,-,-,-,12
S00111248,23,18,1,-,2,-,2,-,-,-,-,7
S00111249,31,18,2,-,5,1,2,1,1,1,-,21
S00111250,15,7,2,1,2,-,2,1,-,-,-,11
S00111251,40,32,-,4,-,2,-,-,1,1,-,14
S00111252,48,31,2,2,4,1,2,3,1,2,-,33
S00111253,32,27,1,3,1,-,-,-,-,-,-,5
S00111254,32,26,1,1,2,-,1,-,-,-,1,9
S00111255,48,31,4,-,4,2,4,1,-,1,1,29
S00111256,40,17,5,8,4,2,1,-,2,1,-,35
S00111257,35,26,1,1,1,3,-,-,1,2,-,18
S00111258,30,20,2,-,4,1,3,-,-,-,-,16
S00111259,31,20,-,2,1,3,4,-,1,-,-,20
S00111260,28,17,-,1,2,3,4,-,1,-,-,20
S00111261,23,16,1,2,1,1,1,1,-,-,-,10
S00111262,36,16,4,5,2,3,4,-,1,1,-,33
S00111263,26,18,1,1,1,1,3,1,-,-,-,13
S00111264,19,10,3,-,3,1,1,-,-,1,-,13
S00111265,54,37,1,2,5,2,1,3,2,-,1,29
S00111266,46,19,2,3,1,5,4,3,7,2,-,60
S00111267,29,18,3,1,1,-,1,1,1,3,-,22
S00111268,25,17,1,-,1,1,2,2,-,1,-,15
S00111269,30,20,1,-,2,3,3,1,-,-,-,17
S00111270,28,14,3,3,4,-,-,1,2,1,-,23
S00111271,14,11,1,1,-,-,-,1,-,-,-,4
S00111272,27,16,3,1,2,1,2,2,-,-,-,16
S00111273,31,21,-,-,4,3,2,-,1,-,-,17
S00111274,20,13,1,2,2,1,1,-,-,-,-,10
S00111275,24,12,1,3,6,-,1,-,1,-,-,17
S00111276,28,16,-,5,4,-,1,1,1,-,-,16
S00111277,37,18,3,-,2,4,3,2,2,3,-,42
S00111278,34,23,3,-,-,-,4,-,2,2,-,25
S00111279,27,18,-,3,3,-,1,-,1,1,-,16
S00111280,27,21,1,-,-,2,2,-,-,1,-,12
S00111281,22,15,3,-,1,1,1,-,-,1,-,12
S00111282,20,13,-,-,1,2,2,1,-,1,-,14
S00111283,34,23,3,1,4,1,1,1,-,-,-,14
S00111284,29,19,4,1,2,-,1,-,1,1,-,18
S00111285,18,12,5,-,-,1,-,-,-,-,-,7
S00111286,26,17,-,1,4,1,-,1,1,1,-,15
S00111287,39,19,2,3,4,3,3,1,2,2,-,36
S00111288,33,18,1,1,4,5,2,1,-,1,-,26
S00111289,45,19,4,4,1,7,4,2,4,-,-,49
S00111290,43,25,4,2,2,4,2,1,2,1,-,32
S00111291,49,23,4,3,-,9,4,1,3,1,1,50
S00111292,31,18,1,1,-,2,2,2,1,3,1,30
S00111293,45,21,5,2,5,7,1,-,2,2,-,41
S00111294,44,22,3,2,6,2,8,-,1,-,-,34
S00111295,37,24,1,3,7,-,1,-,1,-,-,17
S00111296,23,17,1,1,2,-,-,1,-,1,-,9
S00111297,10,6,-,-,1,1,2,-,-,-,-,7
S00111298,29,25,-,1,2,1,-,-,-,-,-,5
S00111299,22,15,-,3,1,1,1,1,-,-,-,10
S00111300,25,18,-,2,2,2,-,-,1,-,-,13
S00111301,37,18,5,6,4,1,-,-,3,-,-,28
S00111302,29,18,2,3,2,-,2,-,1,1,-,18
S00111303,15,10,1,-,1,1,1,-,-,1,-,9
S00111304,39,31,2,1,4,1,-,-,-,-,-,11
S00111305,25,10,3,3,1,2,-,2,1,3,-,27
S00111306,16,10,1,-,4,1,-,-,-,-,-,7
S00111307,33,25,-,1,1,1,2,2,-,1,-,16
S00111308,13,7,1,2,2,1,-,-,-,-,-,7
S00111309,53,31,6,1,2,2,8,1,-,1,1,37
S00111310,38,22,1,2,3,1,1,3,3,2,-,34
S00111311,34,23,1,4,2,-,1,1,2,-,-,18
S00111312,31,10,1,2,6,3,1,4,2,1,1,39
S00111313,21,6,3,2,2,1,2,1,3,1,-,31
S00111314,15,13,-,-,1,1,-,-,-,-,-,3
S00111315,16,11,3,1,-,1,-,-,-,-,-,6
S00111316,37,22,2,1,4,1,2,1,2,2,-,28
S00111317,29,14,3,3,1,-,2,-,4,2,-,33
S00111318,12,7,3,1,-,-,1,-,-,-,-,6
S00111319,55,21,5,2,7,7,3,4,4,1,1,61
S00111320,72,24,9,3,5,13,6,4,6,2,-,89
S00111321,66,29,9,3,4,10,5,3,1,2,-,61
S00111322,49,18,8,6,6,3,2,1,4,1,-,47
S00111323,34,9,5,2,2,3,5,5,2,1,-,49
S00111324,43,16,6,1,3,4,7,-,3,2,1,51
S00111325,35,16,3,3,1,4,3,2,-,3,-,35
S00111326,41,24,5,3,1,5,3,-,-,-,-,25
S00111327,64,35,9,4,1,7,5,3,-,-,-,44
S00111328,49,16,6,1,3,6,5,5,4,2,1,66
S00111329,23,9,2,-,5,3,1,2,1,-,-,24
S00111330,49,33,-,2,6,-,4,1,1,2,-,27
S00111331,42,10,-,1,11,7,5,1,3,3,1,62
S00111332,18,14,2,-,1,-,-,1,-,-,-,5
S00111333,20,11,2,-,-,3,2,-,-,2,-,18
S00111334,24,21,1,-,1,1,-,-,-,-,-,4
S00111335,45,27,2,2,4,1,6,-,1,2,-,32
S00111336,23,17,1,1,2,1,-,-,1,-,-,9
S00111337,24,16,1,-,1,1,-,3,1,1,-,18
S00111338,21,12,1,1,-,1,3,1,-,2,-,18
S00111339,32,25,1,1,2,1,1,-,1,-,-,11
