oa_code,All families in households,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family: Youngest aged 0 to 4,Two dependent children in family: Youngest aged 5 to 11 ,Two dependent children in family: Youngest aged 12 to 18 ,Three or more dependent children in family: Youngest aged 0 to 4 ,Three or more dependent children in family: Youngest aged 5 to 11,Three or more dependent children in family: Youngest aged 12 to 18,All dependent children in households
S00089263,16,13,2,-,-,1,-,-,-,-,-,4
S00089264,37,29,1,2,2,-,1,-,1,1,-,13
S00089265,18,13,2,1,2,-,-,-,-,-,-,5
S00089266,21,12,4,-,1,2,-,-,1,1,-,16
S00089267,16,16,-,-,-,-,-,-,-,-,-,-
S00089268,26,16,7,-,-,3,-,-,-,-,-,13
S00089269,24,15,5,1,2,-,1,-,-,-,-,10
S00089270,28,21,3,1,2,1,-,-,-,-,-,8
S00089271,26,14,2,-,3,3,2,1,-,1,-,21
S00089272,20,11,1,1,3,1,2,-,1,-,-,14
S00089273,24,18,3,-,1,1,1,-,-,-,-,8
S00089274,33,23,3,-,2,2,1,1,-,-,1,16
S00089275,11,11,-,-,-,-,-,-,-,-,-,-
S00089276,12,10,2,-,-,-,-,-,-,-,-,2
S00089277,55,36,-,2,3,5,3,6,-,-,-,33
S00089278,11,11,-,-,-,-,-,-,-,-,-,-
S00089279,17,10,-,-,1,2,2,1,1,-,-,15
S00089280,18,10,1,2,2,1,1,-,1,-,-,12
S00089281,17,13,1,-,-,1,1,1,-,-,-,7
S00089282,21,10,1,1,-,4,4,-,1,-,-,21
S00089283,15,10,-,1,2,-,1,-,1,-,-,8
S00089284,36,31,-,-,-,-,1,2,2,-,-,12
S00089285,31,26,2,-,1,1,1,-,-,-,-,7
S00089286,18,13,3,2,-,-,-,-,-,-,-,5
S00089287,15,15,-,-,-,-,-,-,-,-,-,-
S00089288,28,16,2,3,2,2,2,-,1,-,-,18
S00089289,35,20,2,3,5,2,2,-,1,-,-,21
S00089290,19,13,1,-,2,1,2,-,-,-,-,9
S00089291,28,16,2,3,1,1,2,1,1,-,1,21
S00089292,25,19,1,-,-,3,-,1,1,-,-,13
S00089293,36,17,5,2,7,2,3,-,-,-,-,24
S00089294,40,25,3,-,5,3,4,-,-,-,-,24
S00089295,53,29,-,-,6,4,6,3,1,4,-,49
S00089296,47,35,3,1,1,1,2,1,1,1,1,26
S00089297,20,10,3,1,-,3,-,-,3,-,-,19
S00089298,24,19,2,1,-,2,-,-,-,-,-,7
S00089299,10,6,-,-,-,1,-,1,2,-,-,14
S00089300,26,17,1,-,2,2,1,2,-,1,-,16
S00089301,30,17,1,1,3,1,2,1,2,2,-,27
S00089302,30,20,1,1,4,1,1,-,-,1,1,17
S00089303,44,31,2,3,5,1,1,-,-,1,-,17
S00089304,44,26,2,1,7,3,2,-,1,1,1,30
S00089305,13,10,1,-,-,-,1,1,-,-,-,5
S00089306,30,23,2,1,-,-,1,-,1,2,-,14
S00089307,17,8,3,2,-,1,-,1,-,1,1,15
S00089308,23,10,1,1,2,4,-,1,1,3,-,26
S00089309,39,23,1,1,4,2,2,3,2,1,-,31
S00089310,37,15,4,-,4,3,6,3,-,2,-,38
S00089311,31,24,1,-,4,-,1,1,-,-,-,9
S00089312,48,29,4,2,4,5,2,1,1,-,-,29
S00089313,42,26,5,1,2,3,2,-,3,-,-,28
S00089314,29,19,3,2,2,1,1,1,-,-,-,13
S00089315,34,23,3,1,2,2,3,-,-,-,-,17
S00089316,34,22,2,1,5,-,1,1,-,2,-,18
S00089317,33,19,4,4,2,3,1,-,-,-,-,18
S00089318,31,18,3,3,3,2,-,1,-,1,-,20
S00089319,45,34,2,2,1,2,2,-,1,1,-,20
S00089320,37,23,-,2,2,3,2,1,3,1,-,28
S00089321,30,20,-,2,2,2,4,-,-,-,-,16
S00089322,37,22,2,4,3,4,1,-,1,-,-,24
S00089323,26,18,1,-,2,1,2,2,-,-,-,13
S00089324,29,22,2,-,2,1,-,1,1,-,-,14
S00089325,32,20,4,-,2,1,3,1,1,-,-,19
S00089326,45,29,1,2,5,4,2,1,1,-,-,25
S00089327,37,29,2,-,-,1,2,2,-,1,-,15
S00089328,34,24,1,1,3,3,1,1,-,-,-,15
S00089329,31,25,1,-,2,1,2,-,-,-,-,9
S00089330,48,29,3,2,2,4,4,3,1,-,-,33
S00089331,53,33,-,4,4,6,3,1,1,1,-,35
S00089332,55,34,4,2,7,1,3,1,2,1,-,32
S00089333,55,31,6,-,5,4,4,2,2,-,1,41
S00089334,48,32,-,1,3,5,5,2,-,-,-,28
S00089335,42,27,4,1,1,4,2,1,2,-,-,26
S00089336,29,19,4,1,-,3,1,1,-,-,-,15
S00089337,19,15,-,1,1,-,-,1,1,-,-,7
S00089338,50,35,1,3,4,2,4,1,-,-,-,22
S00089339,48,34,4,-,1,5,2,2,-,-,-,23
S00089340,35,28,-,-,1,2,1,-,3,-,-,17
S00089341,22,15,3,1,-,1,2,-,-,-,-,10
S00089342,12,12,-,-,-,-,-,-,-,-,-,-
S00089343,15,11,-,1,1,1,1,-,-,-,-,6
S00089344,11,4,1,-,-,1,2,-,1,2,-,18
S00089345,27,21,3,1,-,1,-,-,1,-,-,9
S00089346,48,37,2,-,2,4,2,-,-,1,-,20
S00089347,33,18,-,3,5,2,5,-,-,-,-,22
S00089348,35,28,1,-,3,-,-,3,-,-,-,10
S00089349,34,23,4,-,4,-,1,2,-,-,-,14
S00089350,32,16,3,-,5,1,6,-,1,-,-,25
S00089351,49,23,5,1,3,5,6,2,4,-,-,47
S00089352,44,29,2,1,4,1,2,-,3,2,-,28
S00089353,39,31,1,1,3,1,1,-,1,-,-,12
S00089354,28,17,3,1,1,-,2,3,1,-,-,18
S00089355,52,30,2,-,3,4,5,3,1,4,-,44
S00089356,19,14,3,-,1,-,-,1,-,-,-,6
S00089357,30,19,1,2,2,1,2,1,-,2,-,20
S00089358,24,16,-,-,2,-,2,3,-,1,-,15
S00089359,34,17,2,1,4,5,1,2,-,2,-,29
S00089360,32,23,4,-,1,2,1,1,-,-,-,13
S00089361,43,27,3,1,2,-,3,5,-,1,1,28
S00089362,21,14,-,-,-,-,-,2,4,1,-,19
S00089363,18,13,-,1,2,1,-,-,1,-,-,8
S00089364,13,10,2,-,-,1,-,-,-,-,-,4
S00089365,26,16,3,1,-,3,1,-,2,-,-,18
S00089366,18,11,3,3,-,-,1,-,-,-,-,8
S00089367,29,22,-,-,3,-,-,1,1,2,-,16
S00089368,14,11,2,1,-,-,-,-,-,-,-,3
S00089369,19,9,5,2,1,-,-,-,2,-,-,15
S00089370,20,17,2,1,-,-,-,-,-,-,-,3
S00089371,30,24,1,1,2,1,1,-,-,-,-,8
S00089372,15,11,3,-,-,1,-,-,-,-,-,5
S00089373,24,20,1,1,-,1,-,-,-,-,1,7
S00089374,16,11,1,2,-,1,1,-,-,-,-,7
S00089375,44,35,1,2,1,2,-,1,2,-,-,18
S00089376,46,34,2,1,4,2,3,-,-,-,-,17
S00089377,28,20,1,-,1,4,1,1,-,-,-,14
S00089378,33,22,1,1,3,1,-,2,2,1,-,21
S00089379,61,50,2,1,2,1,2,2,-,1,-,18
S00089380,48,28,2,2,4,3,5,4,-,-,-,32
S00089381,36,25,3,2,1,2,1,2,-,-,-,16
S00089382,45,32,4,1,1,2,3,1,-,-,1,21
S00089383,41,30,4,-,3,-,4,-,-,-,-,15
S00089384,33,18,2,2,4,1,3,1,1,1,-,24
S00089385,46,37,2,-,1,4,-,-,1,1,-,17
S00089386,60,44,2,1,7,3,1,2,-,-,-,22
S00089387,56,41,3,-,3,5,-,4,-,-,-,24
S00089388,45,19,-,3,6,6,3,5,2,1,-,46
S00089389,33,24,2,1,2,-,1,2,-,-,1,14
S00089390,25,16,-,1,1,1,2,1,1,2,-,20
S00089391,19,13,-,2,1,2,-,1,-,-,-,9
S00089392,19,8,4,-,1,3,1,-,1,1,-,19
S00089393,23,10,4,2,4,1,-,-,-,2,-,18
S00089394,15,8,-,1,3,2,-,-,1,-,-,11
S00089395,31,21,3,2,2,1,1,1,-,-,-,13
S00089396,9,8,-,-,1,-,-,-,-,-,-,1
S00089397,32,21,2,3,3,-,-,1,2,-,-,16
S00089398,36,31,2,1,1,-,1,-,-,-,-,6
S00089399,6,6,-,-,-,-,-,-,-,-,-,-
S00089400,30,19,2,3,1,1,3,-,1,-,-,18
S00089401,22,17,-,2,1,-,2,-,-,-,-,8
S00089402,22,13,4,3,1,-,1,-,-,-,-,10
S00089403,31,17,-,1,6,1,2,3,1,-,-,22
S00089404,31,22,1,-,4,2,1,1,-,-,-,13
S00089405,34,21,4,-,1,-,1,2,2,3,-,28
S00089406,45,22,1,2,7,4,1,4,1,2,1,41
S00089407,33,17,-,1,7,2,4,-,2,-,-,27
S00089408,26,14,2,-,1,-,5,-,3,-,1,25
S00089409,37,22,2,1,5,3,1,2,1,-,-,23
S00089410,36,17,-,1,4,1,8,3,-,2,-,35
S00089411,30,16,1,1,3,3,1,3,-,2,-,27
S00089412,64,44,4,-,3,1,5,2,2,1,2,40
S00089413,62,36,2,1,4,2,1,8,4,4,-,54
