oa_code,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
S00089272,40,4,6,22,8,21,1,1,12,7,19,3,5,10,1
S00089273,79,2,7,62,8,44,-,3,34,7,35,2,4,28,1
S00089274,95,4,11,64,16,57,3,2,39,13,38,1,9,25,3
S00089275,2,-,1,1,-,1,-,-,1,-,1,-,1,-,-
S00089276,42,4,8,27,3,25,2,3,17,3,17,2,5,10,-
S00089277,95,6,17,59,13,42,1,2,29,10,53,5,15,30,3
S00089278,2,-,-,2,-,1,-,-,1,-,1,-,-,1,-
S00089279,46,5,10,25,6,22,-,2,15,5,24,5,8,10,1
S00089280,34,2,8,19,5,20,2,1,12,5,14,-,7,7,-
S00089281,56,5,5,39,7,28,-,2,21,5,28,5,3,18,2
S00089282,39,2,10,26,1,19,1,-,17,1,20,1,10,9,-
S00089283,36,2,4,25,5,20,-,1,14,5,16,2,3,11,-
S00089284,56,3,12,37,4,23,-,1,18,4,33,3,11,19,-
S00089285,92,4,7,71,10,53,-,2,44,7,39,4,5,27,3
S00089286,76,8,15,42,11,46,4,7,25,10,30,4,8,17,1
S00089287,17,3,4,10,-,6,1,-,5,-,11,2,4,5,-
S00089288,53,14,14,21,4,22,1,6,13,2,31,13,8,8,2
S00089289,64,9,13,38,4,39,3,4,28,4,25,6,9,10,-
S00089290,36,4,5,21,6,15,-,-,10,5,21,4,5,11,1
S00089291,51,5,9,33,4,27,1,1,21,4,24,4,8,12,-
S00089292,43,5,10,24,4,24,2,3,15,4,19,3,7,9,-
S00089293,96,8,22,55,11,38,-,5,24,9,58,8,17,31,2
