oa_code,All people aged 16 to 74 in employment,All people: Part-time: 15 hours or less,All people: Part-time: 16 to 30 hours,All people: Full-time: 31 to 48 hours,All people: Full-time: 49 hours or more,All males aged 16 to 74 in employment,All males: Part-time: 15 hours or less,All males: Part-time: 16 to 30 hours,All males: Full-time: 31 to 48 hours,All males: Full-time: 49 hours or more,All females aged 16 to 74 in employment,All females: Part-time: 15 hours or less,All females: Part-time: 16 to 30 hours,All females: Full-time: 31 to 48 hours,All females: Full-time: 49 hours or more
S00119134,31,1,10,17,3,15,1,3,8,3,16,-,7,9,-
S00119135,36,-,5,20,11,24,-,1,12,11,12,-,4,8,-
S00119136,38,3,7,22,6,20,1,2,12,5,18,2,5,10,1
S00119137,62,1,12,39,10,33,-,2,25,6,29,1,10,14,4
S00119138,37,3,9,22,3,18,-,2,13,3,19,3,7,9,-
S00119139,29,4,6,17,2,14,1,3,8,2,15,3,3,9,-
S00119140,30,1,11,17,1,17,-,2,14,1,13,1,9,3,-
S00119141,22,1,7,12,2,12,-,2,8,2,10,1,5,4,-
S00119142,50,5,9,33,3,32,1,2,26,3,18,4,7,7,-
S00119143,72,6,19,38,9,35,2,5,22,6,37,4,14,16,3
S00119144,79,10,13,29,27,40,2,3,16,19,39,8,10,13,8
S00119145,48,6,5,29,8,32,-,2,23,7,16,6,3,6,1
S00119146,36,2,9,22,3,17,1,2,12,2,19,1,7,10,1
S00119147,49,2,15,27,5,25,1,3,17,4,24,1,12,10,1
S00119148,28,3,4,15,6,13,1,2,5,5,15,2,2,10,1
S00119149,67,8,17,28,14,39,3,4,18,14,28,5,13,10,-
S00119150,76,4,18,32,22,47,2,4,24,17,29,2,14,8,5
S00119151,37,5,6,19,7,22,1,3,11,7,15,4,3,8,-
S00119152,64,5,18,35,6,30,-,6,18,6,34,5,12,17,-
S00119153,57,5,15,25,12,35,1,7,16,11,22,4,8,9,1
S00119154,55,6,13,20,16,30,-,4,14,12,25,6,9,6,4
S00119155,57,4,10,25,18,31,-,2,18,11,26,4,8,7,7
S00119156,110,6,21,55,28,60,3,4,34,19,50,3,17,21,9
S00119157,67,4,17,34,12,35,1,6,20,8,32,3,11,14,4
S00119158,63,6,15,33,9,32,1,5,19,7,31,5,10,14,2
S00119159,97,12,38,26,21,48,3,17,18,10,49,9,21,8,11
S00119160,49,5,15,24,5,24,1,3,15,5,25,4,12,9,-
S00119161,52,4,7,31,10,32,2,1,22,7,20,2,6,9,3
S00119162,63,5,16,27,15,34,1,3,19,11,29,4,13,8,4
S00119163,53,6,6,35,6,26,1,-,20,5,27,5,6,15,1
S00119164,30,1,6,16,7,17,-,2,9,6,13,1,4,7,1
S00119165,63,5,16,27,15,34,-,4,16,14,29,5,12,11,1
S00119166,75,5,10,41,19,41,1,2,23,15,34,4,8,18,4
S00119167,60,6,17,30,7,30,4,6,15,5,30,2,11,15,2
S00119168,105,15,23,44,23,57,2,6,29,20,48,13,17,15,3
S00119169,56,3,11,31,11,30,-,1,20,9,26,3,10,11,2
S00119170,30,3,8,12,7,17,1,2,9,5,13,2,6,3,2
S00119171,33,1,8,15,9,14,-,-,8,6,19,1,8,7,3
S00119172,30,4,6,10,10,17,1,1,6,9,13,3,5,4,1
S00119173,88,8,20,37,23,49,3,8,22,16,39,5,12,15,7
S00119174,50,6,7,26,11,27,1,4,14,8,23,5,3,12,3
S00119175,40,7,4,23,6,21,2,2,14,3,19,5,2,9,3
S00119176,31,4,3,13,11,21,1,2,7,11,10,3,1,6,-
S00119177,35,7,6,15,7,16,2,2,6,6,19,5,4,9,1
S00119178,26,6,6,5,9,15,2,2,2,9,11,4,4,3,-
S00119179,76,6,14,30,26,52,1,4,24,23,24,5,10,6,3
S00119180,77,5,24,31,17,40,1,7,20,12,37,4,17,11,5
S00119181,60,3,11,30,16,38,3,3,19,13,22,-,8,11,3
S00119182,45,2,7,25,11,29,1,2,16,10,16,1,5,9,1
S00119183,65,4,14,30,17,38,2,5,19,12,27,2,9,11,5
S00119184,61,2,14,38,7,29,-,1,21,7,32,2,13,17,-
S00119185,78,4,16,35,23,46,1,4,22,19,32,3,12,13,4
S00119186,48,6,11,24,7,25,1,2,17,5,23,5,9,7,2
S00119187,23,1,2,12,8,14,-,-,7,7,9,1,2,5,1
S00119188,27,-,10,12,5,13,-,3,5,5,14,-,7,7,-
S00119189,65,6,12,31,16,36,2,2,19,13,29,4,10,12,3
S00119190,41,6,7,20,8,19,1,1,11,6,22,5,6,9,2
S00119191,58,4,14,27,13,33,1,6,18,8,25,3,8,9,5
S00119192,49,2,13,23,11,27,1,3,14,9,22,1,10,9,2
S00119193,23,3,8,6,6,11,1,1,3,6,12,2,7,3,-
S00119194,51,1,14,27,9,28,-,5,15,8,23,1,9,12,1
S00119195,43,1,12,21,9,23,-,2,13,8,20,1,10,8,1
S00119196,32,1,5,22,4,17,1,1,12,3,15,-,4,10,1
S00119197,32,4,5,18,5,14,-,1,10,3,18,4,4,8,2
S00119198,38,3,8,17,10,23,1,4,9,9,15,2,4,8,1
S00119199,48,3,18,24,3,20,-,4,13,3,28,3,14,11,-
S00119200,35,3,5,22,5,18,2,1,12,3,17,1,4,10,2
S00119201,31,3,3,18,7,17,2,-,10,5,14,1,3,8,2
S00119202,47,2,11,29,5,20,-,4,14,2,27,2,7,15,3
S00119203,41,-,6,28,7,23,-,-,18,5,18,-,6,10,2
S00119204,59,2,17,32,8,29,-,1,22,6,30,2,16,10,2
S00119205,53,3,11,31,8,26,-,3,19,4,27,3,8,12,4
S00119206,47,1,10,33,3,22,-,1,18,3,25,1,9,15,-
S00119207,69,4,23,37,5,36,2,6,24,4,33,2,17,13,1
S00119208,61,8,11,36,6,31,2,3,21,5,30,6,8,15,1
S00119209,57,3,10,38,6,32,1,2,26,3,25,2,8,12,3
S00119210,33,1,9,22,1,15,-,1,13,1,18,1,8,9,-
S00119211,25,3,5,13,4,12,2,1,5,4,13,1,4,8,-
S00119212,41,1,7,27,6,23,-,2,17,4,18,1,5,10,2
S00119213,92,4,14,51,23,54,2,5,31,16,38,2,9,20,7
S00119214,34,-,7,22,5,19,-,-,14,5,15,-,7,8,-
S00119215,99,9,30,50,10,43,2,4,28,9,56,7,26,22,1
S00119216,38,2,10,21,5,17,-,2,11,4,21,2,8,10,1
S00119217,89,6,20,54,9,44,3,4,29,8,45,3,16,25,1
S00119218,155,6,15,102,32,81,2,5,52,22,74,4,10,50,10
S00119219,51,8,8,29,6,25,1,4,15,5,26,7,4,14,1
S00119220,46,6,9,23,8,28,2,2,17,7,18,4,7,6,1
S00119221,35,3,8,19,5,15,1,1,8,5,20,2,7,11,-
S00119222,67,6,14,32,15,36,3,4,20,9,31,3,10,12,6
S00119223,31,1,6,23,1,17,1,2,13,1,14,-,4,10,-
S00119224,44,1,10,25,8,24,-,1,16,7,20,1,9,9,1
S00119225,41,4,6,22,9,18,-,1,11,6,23,4,5,11,3
S00119226,31,2,9,16,4,19,1,1,14,3,12,1,8,2,1
S00119227,61,4,6,42,9,32,1,4,21,6,29,3,2,21,3
S00119228,30,1,7,17,5,17,1,1,11,4,13,-,6,6,1
S00119229,55,-,9,34,12,27,-,2,16,9,28,-,7,18,3
S00119230,29,6,5,14,4,14,-,3,8,3,15,6,2,6,1
S00119231,72,5,14,33,20,35,-,2,18,15,37,5,12,15,5
S00119232,37,4,9,20,4,18,1,1,12,4,19,3,8,8,-
S00119233,74,5,14,41,14,36,-,4,21,11,38,5,10,20,3
S00119234,21,-,4,13,4,12,-,1,8,3,9,-,3,5,1
S00119235,56,3,12,35,6,29,1,1,22,5,27,2,11,13,1
S00119236,26,-,6,16,4,16,-,1,12,3,10,-,5,4,1
S00119237,72,5,14,45,8,35,1,1,25,8,37,4,13,20,-
S00119238,52,-,11,39,2,20,-,2,17,1,32,-,9,22,1
S00119239,39,2,6,28,3,21,-,1,17,3,18,2,5,11,-
S00119240,76,3,13,47,13,40,1,1,28,10,36,2,12,19,3
S00119241,68,7,25,34,2,34,2,5,26,1,34,5,20,8,1
S00119242,43,2,13,25,3,19,-,2,14,3,24,2,11,11,-
S00119243,48,4,17,24,3,21,-,3,15,3,27,4,14,9,-
S00119244,18,1,5,9,3,9,-,1,5,3,9,1,4,4,-
S00119245,26,5,7,12,2,15,2,2,9,2,11,3,5,3,-
S00119246,35,3,8,19,5,20,1,2,12,5,15,2,6,7,-
S00119247,83,5,16,54,8,35,1,1,26,7,48,4,15,28,1
S00119248,52,1,10,37,4,23,1,3,15,4,29,-,7,22,-
S00119249,45,1,9,17,18,24,1,2,10,11,21,-,7,7,7
S00119250,57,7,9,22,19,33,2,2,14,15,24,5,7,8,4
S00119251,71,3,13,40,15,37,2,1,25,9,34,1,12,15,6
S00119252,61,5,13,33,10,30,-,2,20,8,31,5,11,13,2
S00119253,30,1,10,14,5,16,1,2,9,4,14,-,8,5,1
S00119254,107,4,22,61,20,61,2,4,38,17,46,2,18,23,3
S00119255,52,3,13,31,5,20,-,2,15,3,32,3,11,16,2
S00119256,29,3,7,16,3,12,-,1,9,2,17,3,6,7,1
S00119257,79,9,14,42,14,38,3,2,21,12,41,6,12,21,2
S00119258,36,6,5,17,8,22,1,-,13,8,14,5,5,4,-
S00119259,67,8,12,33,14,41,1,3,24,13,26,7,9,9,1
S00119260,56,4,10,29,13,31,1,1,19,10,25,3,9,10,3
S00119261,63,6,11,32,14,39,1,2,24,12,24,5,9,8,2
S00119262,93,11,17,53,12,55,2,1,42,10,38,9,16,11,2
S00119263,60,4,14,34,8,32,3,4,19,6,28,1,10,15,2
S00119264,64,7,11,33,13,32,3,2,17,10,32,4,9,16,3
S00119265,86,3,13,49,21,47,1,2,29,15,39,2,11,20,6
S00119266,45,3,8,29,5,25,-,1,19,5,20,3,7,10,-
S00119267,51,1,15,25,10,29,1,1,17,10,22,-,14,8,-
S00119268,73,4,11,42,16,40,1,2,23,14,33,3,9,19,2
S00119269,65,5,10,41,9,36,2,1,27,6,29,3,9,14,3
S00119270,44,2,9,27,6,25,1,1,18,5,19,1,8,9,1
S00119271,78,8,18,45,7,43,4,2,30,7,35,4,16,15,-
S00119272,83,2,13,47,21,53,1,4,30,18,30,1,9,17,3
S00119273,59,3,16,30,10,31,-,3,20,8,28,3,13,10,2
S00119274,71,6,13,35,17,41,2,3,24,12,30,4,10,11,5
S00119275,33,1,15,12,5,19,1,4,9,5,14,-,11,3,-
S00119276,32,2,4,21,5,19,-,-,15,4,13,2,4,6,1
S00119277,65,6,13,38,8,32,1,5,18,8,33,5,8,20,-
S00119278,48,3,14,23,8,22,-,1,14,7,26,3,13,9,1
S00119279,68,7,17,32,12,34,1,4,19,10,34,6,13,13,2
S00119280,109,11,18,59,21,62,1,5,39,17,47,10,13,20,4
S00119281,31,1,4,16,10,18,1,2,8,7,13,-,2,8,3
S00119282,36,3,7,19,7,17,-,1,10,6,19,3,6,9,1
S00119283,98,8,20,49,21,55,6,3,26,20,43,2,17,23,1
S00119284,92,10,18,45,19,50,4,4,24,18,42,6,14,21,1
S00119285,111,5,20,55,31,64,-,6,34,24,47,5,14,21,7
S00119286,33,3,5,19,6,19,-,1,13,5,14,3,4,6,1
S00119287,47,5,11,20,11,24,-,3,12,9,23,5,8,8,2
S00119288,54,4,11,29,10,27,-,2,17,8,27,4,9,12,2
S00119289,72,7,16,37,12,34,2,3,19,10,38,5,13,18,2
S00119290,41,3,7,24,7,27,-,4,18,5,14,3,3,6,2
S00119291,66,10,22,28,6,29,-,7,18,4,37,10,15,10,2
S00119292,53,8,8,24,13,29,-,1,16,12,24,8,7,8,1
S00119293,64,3,16,33,12,30,-,2,16,12,34,3,14,17,-
S00119294,73,9,19,32,13,36,3,6,19,8,37,6,13,13,5
S00119295,99,5,22,51,21,54,-,3,32,19,45,5,19,19,2
S00119296,74,7,11,36,20,40,2,1,21,16,34,5,10,15,4
S00119297,76,5,17,41,13,38,2,4,23,9,38,3,13,18,4
S00119298,38,4,8,21,5,20,1,-,14,5,18,3,8,7,-
S00119299,84,7,16,48,13,46,3,6,26,11,38,4,10,22,2
S00119300,106,9,20,64,13,51,1,5,37,8,55,8,15,27,5
S00119301,27,4,7,12,4,14,1,2,8,3,13,3,5,4,1
S00119302,29,3,6,12,8,19,-,2,10,7,10,3,4,2,1
S00119303,60,11,7,28,14,34,3,1,20,10,26,8,6,8,4
S00119304,83,9,17,48,9,43,2,6,26,9,40,7,11,22,-
S00119305,69,4,13,36,16,39,1,4,22,12,30,3,9,14,4
S00119306,40,4,5,22,9,21,-,3,12,6,19,4,2,10,3
S00119307,70,8,10,35,17,36,1,-,23,12,34,7,10,12,5
S00119308,25,2,9,12,2,14,-,2,10,2,11,2,7,2,-
S00119309,58,5,15,19,19,33,1,6,13,13,25,4,9,6,6
S00119310,78,7,15,46,10,45,2,5,31,7,33,5,10,15,3
S00119311,26,4,7,10,5,13,1,1,8,3,13,3,6,2,2
S00119312,30,1,7,16,6,13,-,-,8,5,17,1,7,8,1
S00119313,56,6,16,25,9,30,1,5,16,8,26,5,11,9,1
S00119314,47,4,11,23,9,26,2,4,13,7,21,2,7,10,2
S00119315,32,1,7,22,2,18,-,2,14,2,14,1,5,8,-
S00119316,76,16,19,29,12,40,4,7,18,11,36,12,12,11,1
S00119317,37,2,11,15,9,20,-,-,11,9,17,2,11,4,-
S00119318,40,4,6,22,8,21,3,1,11,6,19,1,5,11,2
S00119319,91,8,18,47,18,50,2,7,28,13,41,6,11,19,5
S00119320,45,3,10,21,11,23,-,2,13,8,22,3,8,8,3
S00119321,72,5,18,36,13,39,1,4,22,12,33,4,14,14,1
S00119322,42,7,17,14,4,19,1,2,12,4,23,6,15,2,-
S00119323,43,4,9,19,11,21,-,2,10,9,22,4,7,9,2
S00119324,75,8,15,34,18,39,1,4,17,17,36,7,11,17,1
S00119325,85,3,18,43,21,45,1,3,22,19,40,2,15,21,2
S00119326,53,3,12,27,11,33,2,3,19,9,20,1,9,8,2
S00119327,56,4,13,31,8,35,1,4,23,7,21,3,9,8,1
S00119328,53,4,10,23,16,28,1,5,11,11,25,3,5,12,5
S00119329,109,8,20,59,22,58,1,4,32,21,51,7,16,27,1
S00119330,26,4,7,13,2,15,1,3,9,2,11,3,4,4,-
S00119331,39,-,9,25,5,21,-,1,16,4,18,-,8,9,1
S00119332,92,8,20,51,13,55,2,6,36,11,37,6,14,15,2
S00119333,61,3,14,32,12,28,-,5,13,10,33,3,9,19,2
S00119334,73,6,15,38,14,39,1,4,22,12,34,5,11,16,2
S00119335,48,6,11,26,5,26,2,4,15,5,22,4,7,11,-
S00119336,72,10,15,34,13,43,3,5,23,12,29,7,10,11,1
S00119337,86,5,28,39,14,47,1,8,24,14,39,4,20,15,-
S00119338,29,5,3,13,8,17,3,-,8,6,12,2,3,5,2
S00119339,59,2,17,28,12,31,-,3,18,10,28,2,14,10,2
S00119340,93,10,22,45,16,47,1,5,28,13,46,9,17,17,3
S00119341,58,5,8,31,14,28,1,2,15,10,30,4,6,16,4
S00119342,75,4,15,38,18,47,-,6,26,15,28,4,9,12,3
S00119343,63,6,10,31,16,36,2,3,15,16,27,4,7,16,-
S00119344,86,10,22,38,16,42,4,3,25,10,44,6,19,13,6
S00119345,67,6,15,37,9,37,3,5,21,8,30,3,10,16,1
S00119346,46,1,12,26,7,29,-,4,19,6,17,1,8,7,1
S00119347,62,7,15,28,12,32,5,2,14,11,30,2,13,14,1
S00119348,89,8,16,39,26,46,-,3,22,21,43,8,13,17,5
S00119349,80,5,19,36,20,42,-,4,22,16,38,5,15,14,4
S00119350,23,2,6,14,1,11,-,3,7,1,12,2,3,7,-
S00119351,73,9,17,37,10,40,3,3,24,10,33,6,14,13,-
S00119352,94,8,21,46,19,48,3,5,25,15,46,5,16,21,4
S00119353,76,6,11,47,12,38,-,4,24,10,38,6,7,23,2
S00119354,71,5,9,41,16,42,3,3,21,15,29,2,6,20,1
S00119355,52,2,11,31,8,30,-,3,19,8,22,2,8,12,-
S00119356,75,10,11,32,22,40,2,3,16,19,35,8,8,16,3
S00119357,65,6,17,26,16,33,2,3,15,13,32,4,14,11,3
S00119358,46,2,15,18,11,27,-,5,11,11,19,2,10,7,-
S00119359,54,2,13,24,15,32,-,4,15,13,22,2,9,9,2
S00119360,42,5,4,21,12,20,2,1,11,6,22,3,3,10,6
S00119361,55,3,13,30,9,25,-,1,18,6,30,3,12,12,3
S00119362,67,8,9,28,22,40,4,3,19,14,27,4,6,9,8
S00119363,85,11,13,32,29,49,3,2,25,19,36,8,11,7,10
S00119364,33,2,10,17,4,16,1,1,11,3,17,1,9,6,1
S00119365,55,4,14,24,13,32,2,7,13,10,23,2,7,11,3
S00119366,82,6,23,46,7,38,3,7,26,2,44,3,16,20,5
S00119367,66,6,10,43,7,35,1,2,26,6,31,5,8,17,1
S00119368,65,6,18,28,13,34,4,6,14,10,31,2,12,14,3
S00119369,52,13,5,21,13,24,5,3,8,8,28,8,2,13,5
S00119370,36,-,13,15,8,19,-,3,8,8,17,-,10,7,-
S00119371,75,2,11,44,18,40,1,3,24,12,35,1,8,20,6
S00119372,47,3,12,17,15,23,1,3,11,8,24,2,9,6,7
S00119373,18,-,4,14,-,9,-,2,7,-,9,-,2,7,-
S00119374,87,5,21,47,14,40,1,5,24,10,47,4,16,23,4
S00119375,46,6,12,17,11,26,2,2,13,9,20,4,10,4,2
S00119376,49,7,9,27,6,32,3,6,19,4,17,4,3,8,2
S00119377,47,-,7,22,18,24,-,2,11,11,23,-,5,11,7
S00119378,44,4,6,23,11,24,1,1,15,7,20,3,5,8,4
S00119379,44,3,9,16,16,21,1,2,10,8,23,2,7,6,8
S00119380,47,1,16,19,11,22,-,5,10,7,25,1,11,9,4
S00119381,47,3,12,27,5,25,1,2,18,4,22,2,10,9,1
S00119382,32,4,8,16,4,16,1,1,10,4,16,3,7,6,-
S00119383,38,7,4,20,7,20,1,1,13,5,18,6,3,7,2
S00119384,61,8,12,28,13,35,4,2,19,10,26,4,10,9,3
S00119385,48,1,11,28,8,27,1,2,17,7,21,-,9,11,1
S00119386,47,2,13,22,10,29,-,4,17,8,18,2,9,5,2
S00119387,62,4,11,32,15,36,1,1,22,12,26,3,10,10,3
S00119388,33,2,6,23,2,19,1,2,14,2,14,1,4,9,-
S00119389,76,1,16,45,14,40,1,2,26,11,36,-,14,19,3
S00119390,45,4,10,24,7,24,2,1,16,5,21,2,9,8,2
S00119391,44,2,9,25,8,24,-,5,13,6,20,2,4,12,2
S00119392,63,5,8,31,19,30,-,1,18,11,33,5,7,13,8
S00119393,31,-,10,14,7,19,-,4,9,6,12,-,6,5,1
S00119394,20,-,2,12,6,12,-,-,6,6,8,-,2,6,-
S00119395,49,1,5,29,14,29,-,-,17,12,20,1,5,12,2
S00119396,32,3,4,17,8,20,-,2,10,8,12,3,2,7,-
S00119397,66,4,16,33,13,39,1,5,23,10,27,3,11,10,3
S00119398,67,2,17,38,10,36,1,5,22,8,31,1,12,16,2
S00119399,53,1,12,29,11,29,-,3,19,7,24,1,9,10,4
S00119400,21,-,6,12,3,10,-,2,7,1,11,-,4,5,2
S00119401,76,3,16,51,6,35,2,2,27,4,41,1,14,24,2
S00119402,55,2,16,33,4,29,1,1,25,2,26,1,15,8,2
S00119403,44,6,10,18,10,24,2,2,12,8,20,4,8,6,2
S00119404,153,13,29,80,31,81,3,4,49,25,72,10,25,31,6
S00119405,73,8,10,44,11,40,2,2,29,7,33,6,8,15,4
S00119406,60,6,13,34,7,33,3,4,19,7,27,3,9,15,-
S00119407,37,6,8,19,4,17,-,2,11,4,20,6,6,8,-
S00119408,46,6,11,22,7,26,3,3,14,6,20,3,8,8,1
S00119409,71,10,9,32,20,39,5,1,20,13,32,5,8,12,7
S00119410,43,2,10,24,7,20,1,2,13,4,23,1,8,11,3
S00119411,89,5,23,43,18,45,1,8,22,14,44,4,15,21,4
S00119412,80,4,15,48,13,37,1,2,27,7,43,3,13,21,6
S00119413,62,2,21,36,3,32,-,6,23,3,30,2,15,13,-
S00119414,64,1,9,45,9,38,-,3,29,6,26,1,6,16,3
S00119415,146,3,30,91,22,82,3,13,49,17,64,-,17,42,5
S00119416,55,4,11,30,10,28,1,4,17,6,27,3,7,13,4
S00119417,64,4,15,34,11,32,3,3,17,9,32,1,12,17,2
S00119418,38,3,7,24,4,21,2,1,14,4,17,1,6,10,-
S00119419,53,6,9,31,7,28,1,1,21,5,25,5,8,10,2
S00119420,52,9,13,25,5,22,-,2,15,5,30,9,11,10,-
S00119421,34,2,8,18,6,18,-,2,10,6,16,2,6,8,-
S00119422,60,3,8,36,13,36,-,1,25,10,24,3,7,11,3
S00119423,92,5,23,49,15,46,2,7,26,11,46,3,16,23,4
S00119424,56,3,11,39,3,25,-,2,20,3,31,3,9,19,-
S00119425,56,4,13,27,12,25,-,1,16,8,31,4,12,11,4
S00119426,50,2,18,26,4,24,-,5,16,3,26,2,13,10,1
S00119427,47,2,11,28,6,25,-,2,18,5,22,2,9,10,1
S00119428,34,2,6,14,12,19,1,1,8,9,15,1,5,6,3
S00119429,42,5,8,26,3,22,3,3,14,2,20,2,5,12,1
S00119430,29,4,5,15,5,16,1,-,11,4,13,3,5,4,1
S00119431,32,1,6,23,2,15,-,3,11,1,17,1,3,12,1
S00119432,15,1,5,8,1,11,1,2,7,1,4,-,3,1,-
S00119433,47,2,12,24,9,27,1,5,13,8,20,1,7,11,1
S00119434,85,5,12,53,15,43,1,1,27,14,42,4,11,26,1
S00119435,57,2,7,42,6,26,-,1,21,4,31,2,6,21,2
S00119436,43,4,6,27,6,23,1,3,15,4,20,3,3,12,2
S00119437,39,3,9,22,5,20,-,3,12,5,19,3,6,10,-
S00119438,64,5,18,31,10,31,1,3,18,9,33,4,15,13,1
S00119439,40,2,5,30,3,21,1,-,18,2,19,1,5,12,1
S00119440,83,5,20,51,7,38,-,6,28,4,45,5,14,23,3
S00119441,112,4,29,59,20,58,2,2,40,14,54,2,27,19,6
S00119442,97,6,21,63,7,50,-,4,39,7,47,6,17,24,-
S00119443,112,5,22,75,10,56,-,3,45,8,56,5,19,30,2
S00119444,50,3,8,32,7,29,1,-,21,7,21,2,8,11,-
S00119445,97,2,14,69,12,51,1,2,37,11,46,1,12,32,1
S00119446,109,5,23,71,10,55,2,6,39,8,54,3,17,32,2
S00119447,44,2,8,31,3,26,-,2,21,3,18,2,6,10,-
S00119448,55,3,14,32,6,26,1,2,17,6,29,2,12,15,-
S00119449,49,2,14,28,5,26,1,4,18,3,23,1,10,10,2
S00119450,75,3,14,52,6,45,2,4,36,3,30,1,10,16,3
S00119451,31,2,9,17,3,15,1,2,10,2,16,1,7,7,1
S00119452,46,2,14,27,3,21,-,5,13,3,25,2,9,14,-
S00119453,85,3,15,58,9,41,1,3,29,8,44,2,12,29,1
S00119454,97,5,16,68,8,52,3,8,35,6,45,2,8,33,2
S00119455,73,3,13,47,10,37,-,2,26,9,36,3,11,21,1
S00119456,39,1,9,26,3,20,-,2,16,2,19,1,7,10,1
S00119457,83,5,18,47,13,44,3,4,27,10,39,2,14,20,3
S00119458,33,5,4,16,8,18,-,-,12,6,15,5,4,4,2
S00119459,54,7,11,30,6,28,3,1,20,4,26,4,10,10,2
S00119460,52,4,12,26,10,28,1,1,17,9,24,3,11,9,1
S00119461,28,5,4,15,4,14,3,1,7,3,14,2,3,8,1
S00119462,49,2,14,24,9,25,-,7,10,8,24,2,7,14,1
S00119463,54,5,12,35,2,24,-,2,20,2,30,5,10,15,-
S00119464,63,5,15,38,5,31,1,3,23,4,32,4,12,15,1
S00119465,40,3,14,20,3,23,1,3,17,2,17,2,11,3,1
S00119466,69,4,10,38,17,40,1,4,23,12,29,3,6,15,5
S00119467,16,-,6,8,2,7,-,1,4,2,9,-,5,4,-
S00119468,63,5,18,40,-,33,3,4,26,-,30,2,14,14,-
S00119469,42,5,15,18,4,18,-,4,10,4,24,5,11,8,-
S00119470,62,6,14,35,7,37,1,5,25,6,25,5,9,10,1
S00119471,49,10,4,26,9,26,4,-,17,5,23,6,4,9,4
S00119472,39,2,10,23,4,17,-,-,14,3,22,2,10,9,1
S00119473,62,5,15,40,2,31,2,3,24,2,31,3,12,16,-
S00119474,65,7,10,39,9,32,3,-,22,7,33,4,10,17,2
S00119475,73,5,12,43,13,40,1,5,23,11,33,4,7,20,2
S00119476,41,4,9,26,2,23,1,5,15,2,18,3,4,11,-
S00119477,54,1,9,33,11,35,1,3,20,11,19,-,6,13,-
S00119478,76,2,13,46,15,47,2,8,28,9,29,-,5,18,6
S00119479,40,3,5,24,8,14,-,1,9,4,26,3,4,15,4
S00119480,84,7,26,39,12,37,1,10,17,9,47,6,16,22,3
S00119481,43,2,7,25,9,24,1,2,15,6,19,1,5,10,3
S00119482,81,1,18,52,10,39,-,5,24,10,42,1,13,28,-
S00119483,57,3,8,37,9,29,-,3,18,8,28,3,5,19,1
S00119484,20,2,5,11,2,10,-,-,8,2,10,2,5,3,-
S00119485,35,1,11,18,5,19,-,2,13,4,16,1,9,5,1
S00119486,20,-,7,12,1,10,-,1,8,1,10,-,6,4,-
S00119487,38,2,14,18,4,21,-,6,11,4,17,2,8,7,-
S00119488,39,2,10,24,3,18,1,1,13,3,21,1,9,11,-
S00119489,117,6,25,77,9,54,1,2,45,6,63,5,23,32,3
S00119490,60,4,17,34,5,29,2,3,19,5,31,2,14,15,-
S00119491,57,7,11,36,3,30,2,5,21,2,27,5,6,15,1
S00119492,90,8,23,50,9,46,3,7,29,7,44,5,16,21,2
S00119493,90,3,21,51,15,45,1,3,29,12,45,2,18,22,3
S00119494,81,3,19,52,7,39,-,4,29,6,42,3,15,23,1
S00119495,44,2,5,33,4,23,-,1,18,4,21,2,4,15,-
S00119496,40,6,10,22,2,22,1,4,15,2,18,5,6,7,-
S00119497,63,5,11,36,11,27,-,1,18,8,36,5,10,18,3
S00119498,59,1,10,41,7,31,-,3,21,7,28,1,7,20,-
S00119499,65,4,18,31,12,35,-,3,21,11,30,4,15,10,1
S00119500,39,4,7,18,10,25,1,3,13,8,14,3,4,5,2
S00119501,51,2,9,25,15,25,-,3,15,7,26,2,6,10,8
S00119502,53,4,13,27,9,24,-,3,12,9,29,4,10,15,-
S00119503,64,7,25,27,5,32,4,8,16,4,32,3,17,11,1
S00119504,56,1,15,35,5,25,1,1,18,5,31,-,14,17,-
S00119505,51,4,3,34,10,30,1,1,18,10,21,3,2,16,-
S00119506,36,3,7,20,6,15,-,-,9,6,21,3,7,11,-
S00119507,29,5,11,9,4,13,3,5,3,2,16,2,6,6,2
S00119508,107,7,26,61,13,53,3,3,38,9,54,4,23,23,4
S00119509,49,3,12,27,7,26,-,2,18,6,23,3,10,9,1
S00119510,72,6,17,39,10,38,1,5,26,6,34,5,12,13,4
S00119511,72,4,22,39,7,35,1,4,23,7,37,3,18,16,-
S00119512,68,2,9,49,8,33,-,1,26,6,35,2,8,23,2
S00119513,37,1,9,23,4,22,-,5,14,3,15,1,4,9,1
S00119514,60,3,12,40,5,39,1,3,30,5,21,2,9,10,-
S00119515,70,1,10,51,8,39,-,3,32,4,31,1,7,19,4
S00119516,89,3,12,65,9,43,3,2,30,8,46,-,10,35,1
S00119517,51,2,13,29,7,26,-,1,20,5,25,2,12,9,2
S00119518,122,6,22,82,12,61,1,5,45,10,61,5,17,37,2
S00119519,88,10,21,53,4,39,2,2,31,4,49,8,19,22,-
S00119520,60,6,11,40,3,34,3,1,27,3,26,3,10,13,-
S00119521,65,5,16,39,5,26,-,1,22,3,39,5,15,17,2
S00119522,59,1,3,47,8,34,-,-,26,8,25,1,3,21,-
S00119523,86,2,7,66,11,44,-,2,33,9,42,2,5,33,2
S00119524,74,4,6,57,7,42,1,2,32,7,32,3,4,25,-
S00119525,42,5,6,28,3,20,-,-,17,3,22,5,6,11,-
