oa_code,All households,Owned,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Social rented,Social rented: Rented from council (Local authority),Social rented: Other social rented,Private rented,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of a household member,Private rented: Other,Living rent free
S00131146,60,54,26,28,-,3,3,-,3,3,-,-,-,-
S00131147,48,41,19,22,-,1,1,-,5,3,-,2,-,1
S00131148,57,46,21,25,-,2,2,-,8,5,-,3,-,1
S00131149,54,41,23,18,-,1,1,-,11,10,-,1,-,1
S00131150,60,54,24,30,-,2,2,-,4,3,-,1,-,-
S00131151,67,48,15,33,-,15,15,-,4,3,-,1,-,-
S00131152,50,20,4,16,-,29,29,-,1,1,-,-,-,-
S00131153,34,29,12,17,-,-,-,-,3,3,-,-,-,2
S00131154,52,19,5,14,-,32,32,-,1,1,-,-,-,-
S00131155,51,27,15,12,-,23,23,-,1,1,-,-,-,-
S00131156,45,17,4,13,-,25,25,-,2,2,-,-,-,1
S00131157,48,43,25,18,-,-,-,-,5,4,-,1,-,-
S00131158,75,65,27,38,-,1,1,-,7,7,-,-,-,2
S00131159,68,55,28,27,-,-,-,-,12,10,-,2,-,1
S00131160,67,31,16,15,-,9,6,3,27,25,-,2,-,-
S00131161,56,52,30,22,-,2,2,-,1,1,-,-,-,1
S00131162,54,49,21,28,-,3,3,-,2,2,-,-,-,-
S00131163,50,49,29,20,-,-,-,-,1,1,-,-,-,-
S00131164,66,55,31,24,-,5,5,-,5,5,-,-,-,1
S00131165,68,60,31,29,-,5,5,-,3,1,-,2,-,-
S00131166,72,67,45,22,-,-,-,-,5,5,-,-,-,-
S00131167,46,38,13,25,-,3,3,-,5,5,-,-,-,-
S00131168,69,65,18,47,-,1,1,-,3,3,-,-,-,-
S00131169,44,27,15,12,-,15,15,-,1,1,-,-,-,1
S00131170,50,49,32,17,-,1,1,-,-,-,-,-,-,-
S00131171,43,42,28,14,-,1,1,-,-,-,-,-,-,-
S00131172,50,48,28,20,-,1,1,-,1,1,-,-,-,-
S00131173,46,19,6,13,-,24,24,-,3,3,-,-,-,-
S00131174,49,28,13,15,-,19,17,2,2,1,-,-,1,-
S00131175,46,34,8,26,-,10,10,-,2,2,-,-,-,-
S00131176,49,19,6,13,-,30,30,-,-,-,-,-,-,-
S00131177,51,16,2,14,-,34,34,-,1,1,-,-,-,-
S00131178,41,23,8,15,-,15,15,-,3,3,-,-,-,-
S00131179,54,28,7,21,-,25,25,-,1,1,-,-,-,-
S00131180,48,16,5,11,-,30,30,-,1,1,-,-,-,1
S00131181,44,17,4,13,-,23,22,1,4,4,-,-,-,-
S00131182,51,19,7,12,-,29,28,1,3,3,-,-,-,-
S00131183,71,62,22,40,-,6,6,-,3,2,-,1,-,-
S00131184,52,33,9,24,-,15,15,-,4,3,-,1,-,-
S00131185,55,48,25,23,-,-,-,-,5,5,-,-,-,2
S00131186,49,32,10,22,-,17,17,-,-,-,-,-,-,-
S00131187,47,44,22,22,-,3,1,2,-,-,-,-,-,-
S00131188,40,15,7,8,-,23,22,1,2,2,-,-,-,-
S00131189,56,33,15,18,-,21,21,-,2,2,-,-,-,-
S00131190,80,61,29,32,-,16,16,-,3,2,-,-,1,-
S00131191,73,35,17,18,-,36,22,14,2,2,-,-,-,-
S00131192,56,37,18,19,-,18,18,-,-,-,-,-,-,1
S00131193,44,41,17,24,-,1,1,-,1,1,-,-,-,1
S00131194,44,12,3,9,-,27,26,1,5,4,-,1,-,-
S00131195,60,26,8,17,1,28,25,3,5,5,-,-,-,1
S00131196,65,32,12,20,-,20,5,15,13,13,-,-,-,-
S00131197,61,27,8,19,-,28,16,12,6,5,-,-,1,-
S00131198,41,27,8,19,-,12,5,7,1,1,-,-,-,1
S00131199,40,4,1,3,-,34,33,1,2,2,-,-,-,-
S00131200,57,21,6,15,-,33,21,12,3,2,-,1,-,-
S00131201,72,38,19,19,-,33,13,20,1,1,-,-,-,-
S00131202,44,10,3,7,-,34,33,1,-,-,-,-,-,-
S00131203,50,25,5,20,-,22,8,14,2,1,-,-,1,1
S00131204,56,28,11,17,-,25,5,20,3,3,-,-,-,-
S00131205,60,23,5,18,-,29,4,25,8,8,-,-,-,-
S00131206,60,58,38,19,1,1,1,-,1,1,-,-,-,-
S00131207,45,42,33,9,-,1,1,-,-,-,-,-,-,2
S00131208,51,23,13,9,1,26,26,-,2,1,-,1,-,-
S00131209,41,23,7,16,-,14,13,1,4,2,-,2,-,-
S00131210,30,26,15,11,-,1,-,1,2,1,-,1,-,1
S00131211,54,53,33,20,-,-,-,-,1,1,-,-,-,-
S00131212,43,42,22,20,-,1,-,1,-,-,-,-,-,-
S00131213,58,55,38,17,-,1,1,-,2,2,-,-,-,-
S00131214,39,35,17,18,-,1,1,-,3,3,-,-,-,-
S00131215,51,47,16,31,-,2,1,1,1,1,-,-,-,1
